Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Maxixe;Alagoas;214;39;175;542;5;537;Toneladas;526;4;522;764;9;755;724;8;717;AL;3120494;2297860;822634;154.650;122.511,44;0,79
Morango;Alagoas;4;-;4;0;-;0;Toneladas;-;-;-;0;-;0;-;-;-;AL;3120494;2297860;822634;X;X;X
Morango;Alagoas;4;-;4;0;-;0;Toneladas;-;-;-;0;-;0;-;-;-;AL;3120494;2297860;822634;2.780.900;29.076.694,93;10,46
Nabo;Alagoas;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AL;3120494;2297860;822634;X;X;X
Orégano;Alagoas;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AL;3120494;2297860;822634;X;X;X
Pepino;Alagoas;27;5;22;4;1;3;Toneladas;4;1;3;13;2;11;13;2;11;AL;3120494;2297860;822634;408.750;1.072.910,72;2,62
Pimenta;Alagoas;278;56;222;398;132;266;Toneladas;395;132;263;2.308;835;1.473;2.279;828;1.450;AL;3120494;2297860;822634;80.950;207.607,78;2,56
Pimenta;Alagoas;278;56;222;398;132;266;Toneladas;395;132;263;2.308;835;1.473;2.279;828;1.450;AL;3120494;2297860;822634;5.111.250;13.298.661,11;2,60
Quiabo;Alagoas;305;48;257;1.088;22;1.066;Toneladas;834;21;813;1.433;46;1.387;1.040;44;996;AL;3120494;2297860;822634;361.750;598.811,45;1,66
Rabanete;Alagoas;9;1;8;18;X;X;Toneladas;18;X;X;22;X;X;22;X;X;AL;3120494;2297860;822634;50.000;63.000,00;1,26
Repolho;Alagoas;29;8;21;245;223;21;Toneladas;244;223;21;446;397;49;446;397;48;AL;3120494;2297860;822634;4.080.250;9.802.165,98;2,40
Rúcula;Alagoas;27;5;22;107;76;31;Toneladas;107;76;31;246;176;70;246;176;70;AL;3120494;2297860;822634;11.000;27.433,33;2,49
Salsa;Alagoas;47;8;39;61;24;38;Toneladas;61;24;38;194;110;84;194;110;84;AL;3120494;2297860;822634;X;X;X
Salsa;Alagoas;47;8;39;61;24;38;Toneladas;61;24;38;194;110;84;194;110;84;AL;3120494;2297860;822634;X;X;X
Taioba;Alagoas;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AL;3120494;2297860;822634;X;X;X
Abobrinha;Ceará;310;72;238;944;246;698;Toneladas;851;244;607;611;181;430;565;178;387;CE;8452381;6346557;2105824;1.695.695;3.404.017,02;2,01
Acelga;Ceará;132;28;104;2.621;1.214;1.408;Toneladas;2.223;1.052;1.171;1.610;727;884;1.404;637;767;CE;8452381;6346557;2105824;6.503.595;8.282.088,75;1,27
Agrião;Ceará;30;8;22;21;8;13;Toneladas;20;8;13;56;36;20;52;33;20;CE;8452381;6346557;2105824;5.610;68.150,66;12,15
Alcachofra;Ceará;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;CE;8452381;6346557;2105824;X;X;X
Alecrim;Ceará;22;5;17;3;0;3;Toneladas;3;0;3;10;1;9;9;1;9;CE;8452381;6346557;2105824;246;5.904,00;24,00
Alface;Ceará;2.089;418;1.671;20.738;5.911;14.827;Toneladas;18.649;5.609;13.040;20.135;7.169;12.966;18.558;6.667;11.891;CE;8452381;6346557;2105824;49.666.928;338.634.391,02;6,82
Almeirão;Ceará;7;1;6;1;X;X;Toneladas;1;X;X;5;X;X;5;X;X;CE;8452381;6346557;2105824;X;X;X
Aspargo;Ceará;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;CE;8452381;6346557;2105824;62.780;2.483.621,24;39,56
Batata-doce;Ceará;3.810;895;2.915;11.063;2.601;8.462;Toneladas;10.669;2.505;8.164;10.428;2.347;8.081;9.870;2.218;7.652;CE;8452381;6346557;2105824;80.291.060;157.815.647,23;1,97
Berinjela;Ceará;269;51;218;1.482;442;1.040;Toneladas;1.366;441;925;1.038;371;667;982;370;612;CE;8452381;6346557;2105824;2.550.640;4.084.745,11;1,60
Bertalha;Ceará;2;1;1;X;X;X;Toneladas;X;X;X;X;X;X;X;X;X;CE;8452381;6346557;2105824;X;X;X
